token,tag,pos
مصالحې,ADJ,adjective
د,X,other
عالي,X,other
شورا,ADJ,adjective
مشر,NOUN,noun
عبدالله,ADJ,adjective
عبدالله,X,other
د,X,other
ښاغلي,NOUN,noun
غضنفر,X,other
پر,PRT,particle
مړینه,X,other
خواخوږي,X,other
څرګنده,NOUN,noun
کړې,X,other
.,PUNCT,punctuation
په,PRT,particle
دې,PRON,pronoun
تړاو,PRON,pronoun
د,X,other
ارګ,X,other
په,PRT,particle
خبرپاڼه,X,other
کې,PRT,particle
ویل,VERB,verb
شوي,VERB,verb
چې,PRT,particle
ښاغلی,X,other
غضنفر,ADJ,adjective
د,X,other
کورونا,NOUN,proper noun
وېروس,NOUN,noun
له,PRT,particle
کبله,X,other
مړ,X,other
شوی,VERB,verb
دی,VERB,verb
.,PUNCT,punctuation
د,X,other
پژواک,X,other
خبري,ADJ,adjective
اژانس,X,other
ویلي,VERB,verb
چې,PRT,particle
نوموړي,X,other
په,PRT,particle
ترکیه,X,other
کې,PRT,particle
ساه,X,other
ورکړې,NOUN,noun
.,PUNCT,punctuation
ښاغلی,PUNCT,punctuation
غضنفر,ADJ,adjective
په,PRT,particle
تېرو,X,other
ولسمشریز,X,other
ټاکنو,X,other
کې,PRT,particle
د,X,other
ولسمشر,NOUN,noun
محمد,NOUN,proper noun
اشرف,NOUN,noun
غني,NOUN,proper noun
د,X,other
ټیم,X,other
مهم,X,other
غړی,ADJ,adjective
و,CONJ,coordinating conjunction
.,PUNCT,punctuation
نوموړی,PUNCT,punctuation
په,PRT,particle
ټاکنو,X,other
کې,PRT,particle
د,X,other
ښاغلي,NOUN,noun
غني,NOUN,proper noun
له,PRT,particle
بریا,X,other
وروسته,X,other
د,X,other
ولسمشر,NOUN,noun
ځانګړی,NOUN,noun
استازی,ADJ,adjective
ونومول,NOUN,noun
شو,VERB,verb
.,PUNCT,punctuation
محمد,NOUN,proper noun
یوسف,NOUN,noun
غضنفر,X,other
تېر,X,other
ځل,NOUN,noun
د,X,other
جون,NOUN,noun
میاشتې,NOUN,noun
پر,PRT,particle
۱۵مه,X,other
نېټه,X,other
په,PRT,particle
کابل,NOUN,proper noun
کې,PRT,particle
د,X,other
ارګ,X,other
په,PRT,particle
یوه,DET,determiner
غونډه,DET,determiner
کې,PRT,particle
ګډون,X,other
کړی,VERB,verb
و,CONJ,coordinating conjunction
.,PUNCT,punctuation
په,PRT,particle
هغه,PRON,pronoun
غونډه,PRON,pronoun
کې,PRT,particle
ګڼ,X,other
شمېر,NOUN,noun
نور,NOUN,noun
لوړ,X,other
پوړي,ADJ,adjective
چارواکي,NOUN,noun
شته,NOUN,noun
وو,X,other
،,PUNCT,punctuation
خو,CONJ,coordinating conjunction
ولسمشر,NOUN,noun
غني,NOUN,proper noun
پکې,ADP,adposition
د,X,other
ویډیو,X,other
کنفرانس,NOUN,noun
له,PRT,particle
لارې,X,other
ګډون,X,other
کړی,VERB,verb
و,CONJ,coordinating conjunction
.,PUNCT,punctuation
هېره,PUNCT,punctuation
دې,PRON,pronoun
نه,PRT,particle
وي,X,other
‌,X,other
چې,PRT,particle
څه,X,other
موده,X,other
وړاندې,ADP,adposition
د,X,other
افغانستان,NOUN,proper noun
ولسمشرۍ,NOUN,proper noun
ماڼۍ,X,other
منلې,NOUN,noun
وه,VERB,verb
چې,PRT,particle
یو,DET,determiner
شمېر,NOUN,noun
کارکوونکي,NOUN,noun
یې,ADP,adposition
په,PRT,particle
کووېډ,X,other
-,PUNCT,punctuation
۱۹,NUM,numeral
ناروغۍ,NOUN,noun
اخته,ADJ,adjective
شوي,VERB,verb
دي,VERB,verb
او,CONJ,coordinating conjunction
قرنطین,NOUN,noun
دي,VERB,verb
.,PUNCT,punctuation
ارګ,PUNCT,punctuation
هغه,PRON,pronoun
مهال,PRON,pronoun
دا,DET,determiner
اعلان,NOUN,noun
هم,ADP,adposition
کړی,VERB,verb
و,CONJ,coordinating conjunction
چې,PRT,particle
د,X,other
ولسمشر,NOUN,noun
محمد,NOUN,proper noun
اشرف,NOUN,noun
غني,NOUN,proper noun
او,CONJ,coordinating conjunction
د,X,other
لومړۍ,X,other
مېرمنې,X,other
رولا,X,other
غني,NOUN,proper noun
معاینې,ADJ,adjective
هم,ADP,adposition
شوې,VERB,verb
دي,VERB,verb
او,CONJ,coordinating conjunction
پایلې,CONJ,coordinating conjunction
یې,ADP,adposition
منفي,VERB,VERB
راختلې,ADJ,adjective
وې,X,other
.,PUNCT,punctuation
له,PRT,particle
تېرې,X,other
څه,X,other
مودې,X,other
راهیسې,X,other
ولسمشر,NOUN,noun
غني,NOUN,proper noun
پخپله,ADJ,adjective
د,X,other
ارګ,X,other
په,PRT,particle
ټولو,ADV,adverb
غونډو,X,other
کې,PRT,particle
حضوري,X,other
ګډون,X,other
نه,PRT,particle
کوي,VERB,verb
،‌,X,other
او,CONJ,coordinating conjunction
د,X,other
ویډیو,X,other
کنفرانس,NOUN,noun
له,PRT,particle
لارې,X,other
د,X,other
ځینو,X,other
ناستو,X,other
مشري,ADJ,adjective
کوي,VERB,verb
.,PUNCT,punctuation
۱۳,PUNCT,punctuation
چنګاښ,NOUN,noun
۱۳۹۹,NOUN,noun
-,PUNCT,punctuation
۳,PUNCT,punctuation
جولاې,X,other
کې,PRT,particle
د,X,other
امریکايي,ADJ,adjective
پوځیانو,NOUN,noun
د,X,other
وژلو,VERB,verb
لپاره,X,other
د,X,other
روسیې,NOUN,proper noun
له,PRT,particle
خوا,X,other
د,X,other
پیسو,X,other
د,X,other
ور,X,other
کړې,NOUN,noun
ادعاوو,X,other
ته,PRT,particle
هغې,PRON,pronoun
امریکايۍ,ADJ,adjective
مور,X,other
هم,ADP,adposition
غبرګون,X,other
ښودلی,NOUN,noun
چې,PRT,particle
سرتېری,X,other
زوی,ADJ,adjective
یې,ADP,adposition
افغان,NOUN,proper noun
-,PUNCT,punctuation
امریکا,NOUN,proper noun
جګړه,NOUN,noun
کې,PRT,particle
وژل,VERB,verb
شوی,VERB,verb
دی,VERB,verb
.,PUNCT,punctuation
بکي,PUNCT,punctuation
وټسټون,X,other
خپل,ADJ,adjective
ټوېټر,ADJ,adjective
کې,PRT,particle
لیکي,X,other
:,PUNCT,punctuation
"""",PUNCT,punctuation
زوی,PUNCT,punctuation
مې,NOUN,noun
د,X,other
امریکا,NOUN,proper noun
سرتېری,NOUN,noun
و,CONJ,coordinating conjunction
او,CONJ,coordinating conjunction
که,PRT,particle
پوه,X,other
شم,ADJ,adjective
چې,PRT,particle
روسیې,NOUN,proper noun
یې,ADP,adposition
د,X,other
وژلو,VERB,verb
لپاره,X,other
پیسې,PRON,pronoun
ټاکلې,X,other
وې,X,other
او,CONJ,coordinating conjunction
امریکا,NOUN,proper noun
دا,DET,determiner
خبره,NOUN,noun
جدي,ADJ,adjective
ونه,ADJ,adjective
ګڼله,NOUN,noun
،,PUNCT,punctuation
پرېکند,X,other
ګام,X,other
یې,ADP,adposition
پورته,VERB,VERB
نه,PRT,particle
کړ,VERB,verb
،,PUNCT,punctuation
نو,X,other
د,X,other
دوزخ,X,other
اور,X,other
به,PRT,particle
هم,ADP,adposition
د,X,other
یوې,X,other
رټل,DET,determiner
شوې,VERB,verb
مور,X,other
د,X,other
غوسې,X,other
په,PRT,particle
څېر,X,other
سخت,ADJ,adjective
نه,PRT,particle
وي,X,other
مېرمن,X,other
وټسټون,X,other
په,PRT,particle
بل,CONJ,coordinating conjunction
ټوېټ,ADJ,adjective
کې,PRT,particle
وايي,VERB,verb
:,PUNCT,punctuation
"""",PUNCT,punctuation
موږ,PUNCT,punctuation
حقیقت,PRON,pronoun
غواړو,X,other
او,CONJ,coordinating conjunction
که,PRT,particle
دا,DET,determiner
خبره,X,other
ریښتیا,NOUN,noun
وي,X,other
،,PUNCT,punctuation
په,PRT,particle
تړاو,X,other
یې,ADP,adposition
سخت,ADJ,adjective
ګام,ADJ,adjective
پورته,NOUN,noun
کړئ,X,other
،,PUNCT,punctuation
د,X,other
امریکا,NOUN,proper noun
لپاره,X,other
دا,DET,determiner
کار,NOUN,noun
وکړئ,NOUN,noun
،,PUNCT,punctuation
په,PRT,particle
تېره,X,other
د,X,other
قرباني,X,other
سرتېرو,NOUN,noun
د,X,other
کورنیو,X,other
او,CONJ,coordinating conjunction
خپلوانو,CONJ,coordinating conjunction
لپاره,X,other
د,X,other
نوموړې,X,other
غبرګون,X,other
له,PRT,particle
هغه,PRON,pronoun
وروسته,PRON,pronoun
دی,VERB,verb
چې,PRT,particle
نیویارک,X,other
ټایمز,X,other
ورځپاڼې,X,other
تېره,X,other
اونۍ,ADJ,adjective
په,PRT,particle
یوه,DET,determiner
رپوټ,NOUN,noun
کې,PRT,particle
وویل,VERB,verb
،,PUNCT,punctuation
د,X,other
روسیې,NOUN,proper noun
د,X,other
پوځ,X,other
د,X,other
ګرو,X,other
په,PRT,particle
نوم,X,other
ادارې,NOUN,noun
له,PRT,particle
طالبانو,NOUN,proper noun
سره,ADP,adposition
ژمنه,NOUN,noun
کړې,X,other
وه,VERB,verb
چې,PRT,particle
افغانستان,NOUN,proper noun
کې,PRT,particle
د,X,other
هر,DET,determiner
امریکايي,ADJ,adjective
پوځي,X,other
د,X,other
وژلو,VERB,verb
بدل,X,other
کې,PRT,particle
به,PRT,particle
پیسې,PRT,particle
ور,X,other
کړي,VERB,verb
.,PUNCT,punctuation
نیویارک,PUNCT,punctuation
ټایمز,X,other
ورځپاڼې,X,other
د,X,other
داسې,X,other
یوه,DET,determiner
افغان,NOUN,proper noun
نوم,NOUN,proper noun
هم,ADP,adposition
اخیستی,VERB,verb
چې,PRT,particle
د,X,other
دې,PRON,pronoun
ورځپاڼې,PRON,pronoun
د,X,other
رپوټ,NOUN,noun
له,PRT,particle
مخې,X,other
افغانستان,NOUN,proper noun
کې,PRT,particle
د,X,other
امریکايي,ADJ,adjective
سرتېرو,X,other
د,X,other
وژلو,VERB,verb
بدل,X,other
کې,PRT,particle
د,X,other
پیسو,X,other
ور,X,other
کولو,NOUN,noun
معامله,X,other
کې,PRT,particle
ښکېل,X,other
و,CONJ,coordinating conjunction
.,PUNCT,punctuation
پیسې,PUNCT,punctuation
چا,X,other
رسولې,PRON,pronoun
؟,X,other
د,X,other
دې,PRON,pronoun
ورځپاڼې,PRON,pronoun
په,PRT,particle
خبره,X,other
،,PUNCT,punctuation
د,X,other
دې,PRON,pronoun
کس,NOUN,noun
ګاونډیان,X,other
او,CONJ,coordinating conjunction
خپلوان,CONJ,coordinating conjunction
وايي,VERB,verb
،,PUNCT,punctuation
دا,DET,determiner
سړی,X,other
د,X,other
نشه,X,other
يي,ADJ,adjective
توکو,X,other
قاچاقي,X,other
و,CONJ,coordinating conjunction
،,PUNCT,punctuation
خو,CONJ,coordinating conjunction
ناڅاپه,CONJ,coordinating conjunction
ډېر,ADJ,adjective
شتمن,X,other
شو,VERB,verb
او,CONJ,coordinating conjunction
لوکس,CONJ,coordinating conjunction
ګاډو,ADJ,adjective
کې,PRT,particle
به,PRT,particle
سپرېده,PRT,particle
،,PUNCT,punctuation
ساتونکي,X,other
یې,ADP,adposition
لرل,VERB,VERB
او,CONJ,coordinating conjunction
یوه,DET,determiner
بنګله,DET,determiner
کې,PRT,particle
یې,ADP,adposition
ژوند,NOUN,noun
کاوه,X,other
.,PUNCT,punctuation
د,X,other
دې,PRON,pronoun
رپوټ,NOUN,noun
له,PRT,particle
مخې,X,other
دغه,DET,determiner
کس,NOUN,noun
طالبانو,NOUN,proper noun
ته,PRT,particle
د,X,other
روسیې,NOUN,proper noun
هغه,PRON,pronoun
پیسې,PRON,pronoun
رسولې,X,other
چې,PRT,particle
د,X,other
امریکايي,ADJ,adjective
سرتېرو,X,other
د,X,other
وژلو,VERB,verb
بدل,X,other
کې,PRT,particle
یې,ADP,adposition
ورته,VERB,VERB
منلې,ADJ,adjective
وې,X,other
.,PUNCT,punctuation
نیویارک,PUNCT,punctuation
ټایمز,X,other
دا,DET,determiner
هم,ADP,adposition
وایي,X,other
،,PUNCT,punctuation
چې,PRT,particle
کله,ADV,adverb
امنیتي,ADJ,adjective
ادارې,NOUN,noun
پر,PRT,particle
نوموړي,X,other
شکمنې,X,other
شوې,VERB,verb
،,PUNCT,punctuation
نو,X,other
دا,DET,determiner
کس,NOUN,noun
ورک,X,other
شو,VERB,verb
او,CONJ,coordinating conjunction
ښايي,CONJ,coordinating conjunction
روسیې,NOUN,proper noun
ته,PRT,particle
تښتېدلی,PRON,pronoun
وي,X,other
.,PUNCT,punctuation
ورځپاڼه,PUNCT,punctuation
زیاتوي,NOUN,noun
،,PUNCT,punctuation
د,X,other
دې,PRON,pronoun
سړي,PRON,pronoun
کور,NOUN,noun
کې,PRT,particle
نږدې,X,other
پنځه,NUM,numeral
لکه,NUM,numeral
ډالر,NOUN,noun
پیدا,NOUN,noun
شول,X,other
.,PUNCT,punctuation
دې,PRON,pronoun
پوسټ,PRON,pronoun
نه,PRT,particle
تېرشئ,X,other
",",PUNCT,punctuation
امریکا,NOUN,proper noun
دفاع,X,other
وزارت,NOUN,noun
وایي,NOUN,noun
،,PUNCT,punctuation
پر,PRT,particle
۲۰۱۹,NUM,numeral
زېږیز,X,other
کال,NOUN,noun
افغانستان,NOUN,proper noun
کې,PRT,particle
۲۲,X,other
امریکايي,ADJ,adjective
پوځیان,X,other
وژل,VERB,verb
شوي,VERB,verb
او,CONJ,coordinating conjunction
د,X,other
نیویارک,X,other
ټایمز,X,other
سرچینې,X,other
دعوه,X,other
کوي,VERB,verb
چې,PRT,particle
لږ,ADJ,adjective
تر,ADP,adposition
لږه,ADJ,adjective
یو,DET,determiner
امریکايي,ADJ,adjective
سرتېري,X,other
د,X,other
روسیې,NOUN,proper noun
او,CONJ,coordinating conjunction
طالبانو,NOUN,proper noun
د,X,other
پټ,X,other
تړون,ADJ,adjective
نتیجه,NOUN,noun
کې,PRT,particle
وژل,VERB,verb
شوی,VERB,verb
دی,VERB,verb
.,PUNCT,punctuation
روسیې,NOUN,proper noun
او,CONJ,coordinating conjunction
وسلوالو,CONJ,coordinating conjunction
طالبانو,NOUN,proper noun
د,X,other
نیویارک,X,other
ټایمز,X,other
دا,DET,determiner
رپوټ,NOUN,noun
رد,VERB,verb
کړی,VERB,verb
دی,VERB,verb
.,PUNCT,punctuation
د,X,other
امریکا,NOUN,proper noun
افغان,NOUN,proper noun
جګړه,NOUN,noun
ولې,ADV,adverb
نه,PRT,particle
ختمېږي,X,other
؟,PUNCT,punctuation
د,X,other
بولټن,NOUN,proper noun
خاطرې,X,other
؛,PUNCT,punctuation
هغه,PRON,pronoun
ورځ,NOUN,noun
چې,PRT,particle
ټرمپ,NOUN,proper noun
افغان,NOUN,proper noun
جګړه,NOUN,noun
"""",PUNCT,punctuation
بایللې,PUNCT,punctuation
او,CONJ,coordinating conjunction
شرموونکې,CONJ,coordinating conjunction
"""",PUNCT,punctuation
وبللهپخپله,PUNCT,punctuation
ولسمشر,NOUN,noun
ټرمپ,NOUN,proper noun
وايي,VERB,verb
،,PUNCT,punctuation
په,PRT,particle
دې,PRON,pronoun
مالوماتو,PRON,pronoun
خبر,NOUN,noun
نه,PRT,particle
دی,VERB,verb
او,CONJ,coordinating conjunction
نیویارک,CONJ,coordinating conjunction
ټایمز,X,other
یې,ADP,adposition
هم,ADP,adposition
د,X,other
نوموړي,X,other
د,X,other
بدنامولو,X,other
لپاره,X,other
پر,PRT,particle
جعلي,X,other
داستان,ADJ,adjective
جوړولو,NOUN,noun
تورن,VERB,verb
کړی,VERB,verb
دی,VERB,verb
.,PUNCT,punctuation
روسیې,NOUN,proper noun
طالبانو,NOUN,proper noun
ته,PRT,particle
د,X,other
وسلو,X,other
ور,X,other
کړه,VERB,verb
رد,VERB,verb
کړهپه,NOUN,noun
دا,DET,determiner
مهال,X,other
د,X,other
روسیې,NOUN,proper noun
د,X,other
بهرنیو,X,other
چارو,X,other
وزارت,NOUN,noun
وايي,VERB,verb
،,PUNCT,punctuation
مسکو,X,other
هیڅکله,NOUN,noun
هم,ADP,adposition
وسلوالو,X,other
طالبانو,NOUN,proper noun
ته,PRT,particle
وسله,NOUN,noun
نه,PRT,particle
ده,VERB,verb
ور,PRON,pronoun
کړې,NOUN,noun
.,PUNCT,punctuation
د,X,other
دې,PRON,pronoun
وزارت,NOUN,noun
ویانده,NOUN,noun
ماریا,X,other
زاخارووا,X,other
د,X,other
پنجشنبې,NOUN,noun
په,PRT,particle
ورځ,NOUN,noun
خبرغونډې,NOUN,noun
ته,PRT,particle
د,X,other
امریکا,NOUN,proper noun
د,X,other
بهرنیو,X,other
چارو,X,other
وزیر,NOUN,noun
مایک,NOUN,proper noun
پمپیو,NOUN,proper noun
د,X,other
چارشنبې,X,other
ورځې,NOUN,noun
دا,DET,determiner
ادعا,X,other
رد,VERB,verb
کړه,VERB,verb
؛,NOUN,noun
چې,PRT,particle
ویل,VERB,verb
یې,ADP,adposition
"""",PUNCT,punctuation
روسانو,PUNCT,punctuation
تېرو,X,other
لسو,X,other
کلونو,NOUN,noun
کې,PRT,particle
داسې,X,other
وسلې,X,other
پلورلې,X,other
چې,PRT,particle
د,X,other
امریکايي,ADJ,adjective
ځواکونو,NOUN,noun
ژوند,NOUN,noun
یې,ADP,adposition
خطر,VERB,VERB
کې,PRT,particle
اچولي,X,other
او,CONJ,coordinating conjunction
موږ,CONJ,coordinating conjunction
د,X,other
دوی,X,other
له,PRT,particle
دې,PRON,pronoun
کار,NOUN,noun
سره,ADP,adposition
مخالف,X,other
یو,DET,determiner
.,PUNCT,punctuation
زه,PRON,pronoun
هر,DET,determiner
ځل,NOUN,noun
له,PRT,particle
دوی,X,other
سره,ADP,adposition
خبرې,X,other
کوم,VERB,verb
چې,PRT,particle
دا,DET,determiner
کار,NOUN,noun
باید,NOUN,noun
نور,X,other
ونه,ADJ,adjective
کړي,VERB,verb
خو,CONJ,coordinating conjunction
مېرمن,CONJ,coordinating conjunction
ماریا,X,other
وویل,VERB,verb
،,PUNCT,punctuation
روسیې,NOUN,proper noun
یواځې,ADV,adverb
د,X,other
افغانستان,NOUN,proper noun
قانوني,NOUN,proper noun
حکومت,NOUN,noun
ته,PRT,particle
وسلې,PRON,pronoun
ور,X,other
کړې,NOUN,noun
دي,VERB,verb
.,PUNCT,punctuation
۱۲,PUNCT,punctuation
چنګاښ,NOUN,noun
۱۳۹۹,NOUN,noun
-,PUNCT,punctuation
۲,PUNCT,punctuation
جولاې,X,other
۲۰۲۰افغان,X,other
طالبانو,NOUN,proper noun
پر,PRT,particle
امریکا,NOUN,proper noun
غږ,X,other
کړی,VERB,verb
چې,PRT,particle
د,X,other
دوحې,X,other
تړون,X,other
ته,PRT,particle
ژمنه,NOUN,noun
پاتې,X,other
شي,VERB,verb
او,CONJ,coordinating conjunction
د,X,other
ناسمو,X,other
مالوماتو,X,other
پر,PRT,particle
بنسټ,X,other
دې,PRON,pronoun
پروپاګند,PRON,pronoun
نه,PRT,particle
کوي,VERB,verb
.,PUNCT,punctuation
طالبانو,NOUN,proper noun
دا,DET,determiner
غبرګون,X,other
وروسته,NOUN,noun
له,PRT,particle
هغه,PRON,pronoun
ښودلی,PRON,pronoun
چې,PRT,particle
د,X,other
امریکا,NOUN,proper noun
د,X,other
دفاع,X,other
وزارت,NOUN,noun
(,PUNCT,punctuation
پنټاګون,PUNCT,punctuation
),PUNCT,punctuation
په,PRT,particle
خپل,ADJ,adjective
یوه,DET,determiner
تازه,DET,determiner
رپوټ,NOUN,noun
کې,PRT,particle
ویلي,VERB,verb
وو,X,other
،,PUNCT,punctuation
طالبان,NOUN,proper noun
د,X,other
هند,NOUN,proper noun
په,PRT,particle
نیمه,X,other
وچه,X,other
کې,PRT,particle
له,PRT,particle
القاعده,NOUN,noun
ډلې,X,other
سره,ADP,adposition
مرسته,X,other
او,CONJ,coordinating conjunction
همکاري,CONJ,coordinating conjunction
کوي,VERB,verb
.,PUNCT,punctuation
خو,CONJ,coordinating conjunction
د,X,other
طالبانو,NOUN,proper noun
ویاند,X,other
ذبیح,NOUN,noun
مجاهد,X,other
رسنیو,ADJ,adjective
ته,PRT,particle
استول,PRON,pronoun
شوې,VERB,verb
یوه,DET,determiner
اعلامیه,DET,determiner
کې,PRT,particle
ویلي,VERB,verb
،,PUNCT,punctuation
یاده,X,other
ډله,NOUN,noun
د,X,other
خپلې,X,other
پالیسۍ,X,other
له,PRT,particle
مخې,X,other
د,X,other
نورو,DET,determiner
هېوادونو,NOUN,noun
په,PRT,particle
چارو,X,other
کې,PRT,particle
هيڅ,X,other
ډول,ADJ,adjective
مداخله,NOUN,noun
نه,PRT,particle
کوي,VERB,verb
،,PUNCT,punctuation
نو,X,other
ځکه,CONJ,coordinating conjunction
نه,PRT,particle
غواړي,X,other
چې,PRT,particle
د,X,other
افغانستان,NOUN,proper noun
له,PRT,particle
پولو,X,other
بهر,ADP,adposition
د,X,other
هند,NOUN,proper noun
او,CONJ,coordinating conjunction
نورو,DET,determiner
هیوادونو,NOUN,noun
لپاره,X,other
له,PRT,particle
چاسره,X,other
مرسته,X,other
وکړي,VERB,verb
.,PUNCT,punctuation
طالبانو,NOUN,proper noun
په,PRT,particle
دې,PRON,pronoun
اړه,PRON,pronoun
خپګان,X,other
ښودلی,NOUN,noun
چې,PRT,particle
"""",PUNCT,punctuation
په,PRT,particle
دې,PRON,pronoun
حساس,PRON,pronoun
وخت,NOUN,noun
کې,PRT,particle
د,X,other
امریکا,NOUN,proper noun
دفاع,X,other
وزارت,NOUN,noun
لخوا,NOUN,noun
داسې,X,other
بې,X,other
مسئولیته,X,other
راپور,X,other
خپریږي,X,other
او,CONJ,coordinating conjunction
یا,CONJ,coordinating conjunction
د,X,other
اذهانو,X,other
د,X,other
مشوش,X,other
کولو,ADJ,adjective
لپاره,X,other
پروپاګند,PRON,pronoun
کیږي,VERB,verb
دطالبانو,X,other
اعلامیه,X,other
کې,PRT,particle
پر,PRT,particle
امریکا,NOUN,proper noun
غږ,X,other
شوی,VERB,verb
چې,PRT,particle
"""",PUNCT,punctuation
خپله,PUNCT,punctuation
نظامي,X,other
دستګاه,ADJ,adjective
کې,PRT,particle
هغه,PRON,pronoun
څيرې,PRON,pronoun
هم,ADP,adposition
له,PRT,particle
پروپاګند,X,other
کولو,X,other
څخه,ADP,adposition
راوګرځوي,X,other
چې,PRT,particle
ممکن,X,other
په,PRT,particle
افغانستان,NOUN,proper noun
کې,PRT,particle
لاهم,X,other
جګړې,X,other
غواړي,X,other
او,CONJ,coordinating conjunction
د,X,other
جګړې,X,other
په,PRT,particle
دوام,X,other
کې,PRT,particle
خپلې,X,other
شخصي,X,other
او,CONJ,coordinating conjunction
یا,CONJ,coordinating conjunction
د,X,other
کمپنیو,X,other
ګټې,X,other
ويني,X,other
د,X,other
پنټاګون,X,other
وروستي,X,other
رپوټ,NOUN,noun
کې,PRT,particle
څه,X,other
ویل,VERB,verb
شوي,VERB,verb
؟,X,other
د,X,other
امریکا,NOUN,proper noun
دفاع,X,other
وزارت,NOUN,noun
یا,CONJ,coordinating conjunction
پنټګان,CONJ,coordinating conjunction
د,X,other
دغه,DET,determiner
هېواد,PRON,pronoun
کانګرېس,X,other
ته,PRT,particle
د,X,other
افغانستان,NOUN,proper noun
امنیتي,ADJ,adjective
حالت,X,other
په,PRT,particle
هکله,X,other
رپوټ,NOUN,noun
کې,PRT,particle
وايي,VERB,verb
،,PUNCT,punctuation
وسلوال,X,other
طالبان,NOUN,proper noun
په,PRT,particle
هند,NOUN,proper noun
نیمه,NOUN,noun
وچه,X,other
کې,PRT,particle
د,X,other
القاعده,NOUN,noun
څانګې,X,other
سره,ADP,adposition
همکاري,X,other
ته,PRT,particle
دوام,PRON,pronoun
ورکوي,VERB,verb
.,PUNCT,punctuation
د,X,other
افغان,NOUN,proper noun
طالبانو,NOUN,proper noun
او,CONJ,coordinating conjunction
امریکا,NOUN,proper noun
د,X,other
تېرې,X,other
فبرورۍ,NOUN,noun
د,X,other
۲۹,X,other
نېټې,X,other
د,X,other
تړون,X,other
له,PRT,particle
مخې,X,other
،,PUNCT,punctuation
دې,PRON,pronoun
ډلې,PRON,pronoun
منلې,X,other
چې,PRT,particle
له,PRT,particle
افغانستان,NOUN,proper noun
د,X,other
امریکايي,ADJ,adjective
ځواکونو,NOUN,noun
د,X,other
وتلو,VERB,verb
په,PRT,particle
پیلېدو,X,other
سره,ADP,adposition
نه,PRT,particle
پرېږدي,X,other
چې,PRT,particle
د,X,other
دوی,X,other
واک,NOUN,noun
کې,PRT,particle
سیمې,X,other
پر,PRT,particle
امریکا,NOUN,proper noun
د,X,other
برید,NOUN,noun
لپاره,X,other
د,X,other
القاعده,NOUN,noun
په,PRT,particle
څېر,X,other
ډلو,NOUN,noun
ته,PRT,particle
په,PRT,particle
خوندي,X,other
مرکز,NOUN,noun
بدلې,NOUN,noun
شي,VERB,verb
.,PUNCT,punctuation
خو,CONJ,coordinating conjunction
د,X,other
پنټګان,X,other
تازه,X,other
رپوټ,NOUN,noun
وايي,VERB,verb
،,PUNCT,punctuation
له,PRT,particle
القاعده,NOUN,noun
سره,ADP,adposition
اړوند,X,other
سیمه,X,other
ییزې,X,other
ډلې,X,other
له,PRT,particle
طالبانو,NOUN,proper noun
سره,ADP,adposition
نږدي,X,other
اړیکي,X,other
جوړوي,X,other
او,CONJ,coordinating conjunction
د,X,other
امریکا,NOUN,proper noun
او,CONJ,coordinating conjunction
نورو,DET,determiner
هېوادونو,NOUN,noun
پر,PRT,particle
سرتېرو,X,other
باندې,X,other
په,PRT,particle
بریدونو,X,other
کې,PRT,particle
"""",PUNCT,punctuation
تلپاتې,PUNCT,punctuation
ګټې,X,other
"""",PUNCT,punctuation
ویني,PUNCT,punctuation
.,PUNCT,punctuation
دې,PRON,pronoun
رپوټ,NOUN,noun
کې,PRT,particle
زیاته,ADV,adverb
شوې,VERB,verb
،,PUNCT,punctuation
وروستیو,X,other
میاشتو,X,other
کې,PRT,particle
طالبانو,NOUN,proper noun
طالبانو,NOUN,proper noun
هند,NOUN,proper noun
نیمه,NOUN,noun
وچه,X,other
کې,PRT,particle
د,X,other
القاعده,NOUN,noun
څانګې,X,other
سره,ADP,adposition
همکاري,X,other
روانه,NOUN,noun
وساتله,X,other
د,X,other
سولې,X,other
بهیر,X,other
کې,PRT,particle
له,PRT,particle
وروستیو,X,other
پرمختګونو,X,other
سره,ADP,adposition
سره,ADP,adposition
،,PUNCT,punctuation
هند,NOUN,proper noun
نیمه,NOUN,noun
وچه,X,other
کې,PRT,particle
القاعده,NOUN,noun
څانګه,X,other
،,PUNCT,punctuation
ممکن,X,other
د,X,other
خوندیتوب,X,other
او,CONJ,coordinating conjunction
روزنې,CONJ,coordinating conjunction
لپاره,X,other
په,PRT,particle
افغانستان,NOUN,proper noun
کې,PRT,particle
له,PRT,particle
طالبانو,NOUN,proper noun
سره,ADP,adposition
نږدې,X,other
اړیکي,X,other
لري,VERB,verb
پنټګان,X,other
د,X,other
امریکا,NOUN,proper noun
کانګرېس,X,other
ته,PRT,particle
خپله,PRON,pronoun
ارزونه,X,other
کې,PRT,particle
ویلي,VERB,verb
،,PUNCT,punctuation
د,X,other
هند,NOUN,proper noun
نیمه,NOUN,noun
وچه,X,other
کې,PRT,particle
القاعده,NOUN,noun
څانګه,X,other
پرلپسې,X,other
د,X,other
طالبانو,NOUN,proper noun
له,PRT,particle
"""",PUNCT,punctuation
ټیټ,PUNCT,punctuation
پوړو,X,other
"""",PUNCT,punctuation
غړو,PUNCT,punctuation
سره,ADP,adposition
د,X,other
افغان,NOUN,proper noun
حکومت,NOUN,noun
په,PRT,particle
کمزورولو,X,other
کې,PRT,particle
همکاري,X,other
کوي,VERB,verb
.,PUNCT,punctuation
